Sample	input_raw_reads	fastp	bowtie
SRR9224529	10190219	8865763	8865761
SRR9224530	4772155	3649885	3649884
SRR9224531	3477248	3004054	3004052
SRR9224532	5217404	4700309	4700309
SRR9224533	7530570	6654091	6654089
SRR9224534	10287844	9096916	9096912
SRR9224535	4290466	3862174	3862174
SRR9224536	4998526	4473254	4473253
SRR9224537	5833648	4845559	4845558
SRR9224538	6345953	5534699	5534566
SRR9224539	6520287	5401773	5401773
SRR9224540	8181126	6668808	6668808
SRR9224541	8571661	7526834	7526833
SRR9224542	9270404	7752137	7752134
SRR9224543	16192948	14408568	14408565
SRR9224544	24741117	22407271	22407264
SRR9224545	29580534	26994754	26994748
SRR9224546	14192949	12998581	12998581
SRR9224547	22441242	20165650	20165633
SRR9224548	26702147	23726353	23726346
SRR9224549	23214410	20558538	20558534
SRR9224550	25662848	22725503	22725499
SRR9224551	26712171	23260945	23260943
SRR9224552	12448247	11808314	11808312
SRR9224553	10723824	10330316	10330314
SRR9224554	7255471	6958186	6958186
SRR9224555	8579945	8189032	8189031
SRR9224556	17489480	16703556	16703552
SRR9224557	9022425	8606449	8606449
SRR9224558	7922131	7610414	7610412
SRR9224559	5401786	5172222	5172222
SRR9224560	6595585	6219353	6219351
SRR9224561	5432554	5039799	5039799
SRR9224562	6639974	6185240	6185239
SRR9224563	5973931	5511668	5511665
SRR9224564	6072783	5605597	5605596
SRR9224565	6363245	5923061	5923060
SRR9224566	6618581	6012916	6012915
